,0 days 00:30:00,0 days 01:00:00,0 days 01:30:00,0 days 02:00:00,0 days 02:30:00,0 days 03:00:00,0 days 03:30:00,0 days 04:00:00,0 days 04:30:00,0 days 05:00:00,0 days 05:30:00,0 days 06:00:00,0 days 06:30:00,0 days 07:00:00,0 days 07:30:00,0 days 08:00:00,0 days 08:30:00,0 days 09:00:00,0 days 09:30:00,0 days 10:00:00,0 days 10:30:00,0 days 11:00:00,0 days 11:30:00,0 days 12:00:00,0 days 12:30:00,0 days 13:00:00,0 days 13:30:00,0 days 14:00:00,0 days 14:30:00,0 days 15:00:00,0 days 15:30:00,0 days 16:00:00,0 days 16:30:00,0 days 17:00:00,0 days 17:30:00,0 days 18:00:00,0 days 18:30:00,0 days 19:00:00,0 days 19:30:00,0 days 20:00:00,0 days 20:30:00,0 days 21:00:00,0 days 21:30:00,0 days 22:00:00,0 days 22:30:00,0 days 23:00:00,0 days 23:30:00,1 days 00:00:00,ahead_time
0,84998.30829147066,79714.8636858498,69456.9724251695,69909.42427947668,48891.44825359003,49644.22313035991,70637.90535789935,60879.30236398433,60991.66958189353,60143.465676658976,60383.52431885759,62559.4445950081,61705.146992284936,64199.59594784671,62806.80049765649,61165.595797107635,64541.432113744064,64350.64829601291,59530.783639414316,61506.06100018322,66884.22541160331,66508.4835441588,67178.74544706187,71357.73419154454,76027.42536415771,76339.73242371477,76389.80709889314,76270.37523874847,76148.77626657863,78087.46885368317,77735.1976764236,77887.29647402467,77877.35393736222,77861.26697122566,77566.99631371994,77624.33942454788,78861.13539140137,79525.41304195883,80341.80163823198,79336.48113945832,78892.19827007572,79565.23728460267,80186.01138881626,81445.9551949424,82226.8665407907,79591.28803726817,80471.03356854661,88014.8553571931,0 days 00:30:00
1,79714.8636858498,125039.44487408624,113845.71084874467,103413.17155824494,93498.95796568535,95401.76041178082,98124.9678596696,89214.63918525488,86577.86405133284,89115.22151656618,85377.87379881302,83333.81414586554,81611.11855411665,85188.47090447608,83941.60704605302,83650.97638126851,83459.0093606656,85505.13632879235,83831.91601691255,70746.7787788703,76330.10940660615,75968.83931294839,76620.22673776202,81401.78714110822,85951.58177512434,86361.16167274055,87326.76124794509,88013.1528470616,88288.90914136397,90063.69891105806,89357.30201763057,89168.22271757902,88981.22946840673,89948.00262820654,89771.43147786213,86260.60146364832,88158.08478485464,88303.07877491492,89111.4054176446,86357.0263399587,86098.38406872774,86541.36112933684,87379.55323298152,91624.79115185424,89801.49415355806,88251.58577562738,90946.35932638844,118458.900507062,0 days 01:00:00
2,69456.9724251695,113845.71084874467,219884.26624998474,198082.2256712413,189815.94320069376,196877.93545462706,187493.51069995365,190314.59139724777,177121.60653915184,183252.10494542983,188391.16538781952,185499.04614519782,170172.10348623837,174095.96547265514,172474.03520347681,171805.60301782753,172215.8006730457,173457.0794093316,169199.1414295096,158987.97805780428,164509.83653365183,164210.6742218108,165685.7945249451,170515.16428976893,174623.48201658443,174835.3984917016,175507.2253149976,176752.34512932788,176905.32265390048,163173.6183050233,163633.55720442373,161611.18533214895,161730.4837383877,162685.68491462356,162646.33868094822,159000.8006203562,161570.77272891902,161942.966890485,161902.70518105332,159388.7454835745,158711.87066584837,168011.1059971165,172009.1392089933,175877.85454914309,159412.1267521885,170443.300301017,172286.6170555549,197947.18904395067,0 days 01:30:00
3,69909.42427947668,103413.17155824494,198082.2256712413,299298.3993232378,257532.8365113591,281354.9865604823,287319.4953891068,278962.3517733852,265192.19222447637,258136.63784818654,270389.26738492073,272830.13798343553,259291.65477396443,258836.67888197515,258002.759220464,251522.6197326022,258727.54158187573,266803.63856963546,260687.28282085626,254995.33287571798,259913.19936623683,260546.88667054177,261751.70425843645,268899.78624283726,274102.9671113673,273193.42414485925,273687.53163846466,276337.32997204753,276575.66876492224,264822.8964592732,262679.057343325,261929.05093026103,260115.69812513603,266948.16720764595,267747.232601603,263736.0633036685,265865.13527252764,267915.6210452952,260718.22154128138,259412.80309487158,259099.38158710653,267796.70462710795,268906.3505733662,275319.1642264021,258623.96662814196,266609.29129350564,260293.26822261093,281686.52819337137,0 days 02:00:00
4,48891.44825359003,93498.95796568535,189815.94320069376,257532.8365113591,433568.45928645576,398643.607490998,402015.2695146457,423186.5546001755,368707.62102731183,383477.1762684445,375761.99112378777,365607.96504628356,366424.3513751508,398266.8005807677,355113.40509763226,360583.064859271,330567.0002857383,363591.90821576427,349091.76753286505,333906.16787145426,339142.2504095289,349035.29129269015,345952.0355864771,353729.30441013613,360485.89396402024,360270.15199575014,362199.07062443974,363308.406578078,362159.90838096756,359250.6135963332,359789.0817229546,356405.36431844824,354427.0453606124,355381.84148217377,352576.2721373728,347182.83333979046,346285.687342253,345987.48282023374,343873.59432034026,345935.3656946638,337043.51872283145,342774.74788655445,338839.4551667941,346650.3557923403,328606.17033519933,341654.0167783934,347627.18177644815,366043.35305126745,0 days 02:30:00
5,49644.22313035991,95401.76041178082,196877.93545462706,281354.9865604823,398643.607490998,587249.2559733234,528705.2739612078,511910.47773902596,464550.7154498672,457677.3921792556,468840.86809541524,484872.9829879486,482228.7130694026,495970.56771843607,480137.4270475028,465015.9731870835,445734.80224841647,475393.39622264646,477944.90581572335,446092.03933996323,452121.9676899003,462298.04050654237,473312.2043605072,482653.7443810864,482224.1941258531,483914.1752375162,488901.4080362577,492301.1487153132,490113.19649858604,486843.03170369164,479284.55627568276,478875.0626728241,471424.0847617988,473088.93406626297,477316.174378077,460844.4950935482,458542.1953695379,460094.9100672099,455630.969942314,459767.6722545439,457966.9266112892,470635.8426894235,463904.96726559085,468451.12959646166,434560.2809744654,446109.3748865558,442233.70175743656,463856.4074088315,0 days 03:00:00
6,70637.90535789935,98124.9678596696,187493.51069995365,287319.4953891068,402015.2695146457,528705.2739612078,679164.5573962117,606665.3904386518,562658.8347998179,554020.7947923067,532321.4856184481,542281.442382864,549717.2621831016,562655.0087424606,532788.719254482,548369.4756070466,508408.6492209862,528085.5589314384,543056.2077424271,511248.0667473759,516830.97900111985,524949.9268086029,532835.4194470011,540747.3489777502,542878.3611655426,542684.2231251956,548132.12277692,554540.8514738104,550855.6911812992,539608.9997852658,533692.7305006961,532085.1165619398,533451.5322207635,534249.5851890758,535719.027400689,522928.1988840879,515977.6304344113,517403.29321317136,524702.1143412763,518640.89156953176,525381.500501008,523152.75881790713,521905.8478938371,520715.1051155741,483605.51597393234,485792.9694185444,471752.4138591061,493035.27468060027,0 days 03:30:00
7,60879.30236398433,89214.63918525488,190314.59139724777,278962.3517733852,423186.5546001755,511910.47773902596,606665.3904386518,732305.0582647484,653331.1084118714,632894.7170686213,593411.0557073875,603638.0092362848,597133.1481642908,625765.3920031568,594335.2666795672,599633.0515037671,581113.725017121,597642.7820754074,602995.4129937011,567061.894094036,568027.3357220641,576212.133228602,579716.7252569547,590515.8142308709,592212.0891967043,594521.9679786992,599015.6086520135,600658.5209424844,599084.1539705207,594132.1046797053,590387.2551624066,588048.2392854808,589775.846059749,589951.9657115788,591071.812487431,584814.3924162551,578273.7798353282,576671.5448450557,581413.8753836034,579025.5954764202,580280.0772170732,579578.2639903093,575759.1667663963,577272.0249603477,539767.5028843231,538565.4971879097,528410.5932709728,544407.5836137859,0 days 04:00:00
8,60991.66958189353,86577.86405133284,177121.60653915184,265192.19222447637,368707.62102731183,464550.7154498672,562658.8347998179,653331.1084118714,715131.1621138484,672275.8835412444,627418.2608189039,640449.2252732505,627843.0801526993,652159.1005209441,639792.3315683494,644681.6085863548,625345.6012356105,637525.1121131906,642739.2705369818,598864.9204000757,600228.1289504337,599870.290609534,606947.5300364931,613348.7752273506,613820.9613135145,615687.3066459112,617180.6310959244,620881.6859070484,619102.2004290775,615328.0119517101,612064.1371823029,610849.8959471805,613169.6469563717,612490.206087989,613988.4373768589,608176.7108229512,598968.8533114147,592674.7122542522,591753.4398490775,589097.0023236951,590768.9347239669,589137.9948763741,585696.9274647473,594913.758865297,558220.3066513682,555652.9089668189,542662.7105188776,555971.283566297,0 days 04:30:00
9,60143.465676658976,89115.22151656618,183252.10494542983,258136.63784818654,383477.1762684445,457677.3921792556,554020.7947923067,632894.7170686213,672275.8835412444,802902.1567795828,754766.6658855932,746956.201165746,744819.7718135925,746253.2874728376,730787.7107362262,754553.0430642513,725371.4476338155,734595.450961293,748391.7846875526,710764.70710016,711161.9398500904,710353.3812799843,718045.6233349198,720902.3159074148,732603.4700150444,732638.8801352703,734997.1569843823,737839.6869626358,737394.2143148395,722650.9303995545,721884.2004136606,717631.6420415835,720613.5657825507,721701.0630755202,714761.642572632,696822.3550456564,689074.275876108,681190.6491580214,682994.1114500684,675838.0887729727,677008.8269833238,673985.5373839786,672658.9723206597,677704.1387133439,644879.0019004339,646572.7991236259,631396.6181136154,634637.6231662217,0 days 05:00:00
