,0,ahead_time
1800000000000 nanoseconds,-4.220101781906945,0 days 00:30:00
3600000000000 nanoseconds,-4.058947472684539,0 days 01:00:00
5400000000000 nanoseconds,-10.376846475916613,0 days 01:30:00
7200000000000 nanoseconds,-19.305575211425463,0 days 02:00:00
9000000000000 nanoseconds,-28.65596867606154,0 days 02:30:00
10800000000000 nanoseconds,-41.566669044541705,0 days 03:00:00
12600000000000 nanoseconds,-48.31094172888893,0 days 03:30:00
14400000000000 nanoseconds,-48.32793866223121,0 days 04:00:00
16200000000000 nanoseconds,-46.90215758146315,0 days 04:30:00
18000000000000 nanoseconds,-52.812667127407614,0 days 05:00:00
19800000000000 nanoseconds,-59.49313555450967,0 days 05:30:00
21600000000000 nanoseconds,-65.63984743436947,0 days 06:00:00
23400000000000 nanoseconds,-73.08739720528561,0 days 06:30:00
25200000000000 nanoseconds,-80.17846761084769,0 days 07:00:00
27000000000000 nanoseconds,-81.54186953744778,0 days 07:30:00
28800000000000 nanoseconds,-88.03404027350176,0 days 08:00:00
30600000000000 nanoseconds,-89.38876908321869,0 days 08:30:00
32400000000000 nanoseconds,-92.86603255189273,0 days 09:00:00
34200000000000 nanoseconds,-87.27785872918253,0 days 09:30:00
36000000000000 nanoseconds,-91.05424203135837,0 days 10:00:00
37800000000000 nanoseconds,-93.01492058297325,0 days 10:30:00
39600000000000 nanoseconds,-95.77643427930657,0 days 11:00:00
41400000000000 nanoseconds,-97.14982663420162,0 days 11:30:00
43200000000000 nanoseconds,-97.86721504854927,0 days 12:00:00
45000000000000 nanoseconds,-102.40097355346312,0 days 12:30:00
46800000000000 nanoseconds,-102.31474271341375,0 days 13:00:00
48600000000000 nanoseconds,-104.27421421829014,0 days 13:30:00
50400000000000 nanoseconds,-110.37312030440852,0 days 14:00:00
52200000000000 nanoseconds,-112.06290871594199,0 days 14:30:00
54000000000000 nanoseconds,-114.94500580006935,0 days 15:00:00
55800000000000 nanoseconds,-117.77624805771757,0 days 15:30:00
57600000000000 nanoseconds,-117.17144552911392,0 days 16:00:00
59400000000000 nanoseconds,-112.84594902585799,0 days 16:30:00
61200000000000 nanoseconds,-114.71775947257444,0 days 17:00:00
63000000000000 nanoseconds,-114.6313744097542,0 days 17:30:00
64800000000000 nanoseconds,-110.80545344757269,0 days 18:00:00
66600000000000 nanoseconds,-110.45634083596731,0 days 18:30:00
68400000000000 nanoseconds,-105.51717386310531,0 days 19:00:00
70200000000000 nanoseconds,-101.17574484717005,0 days 19:30:00
72000000000000 nanoseconds,-99.26215377244084,0 days 20:00:00
73800000000000 nanoseconds,-96.54272263226186,0 days 20:30:00
75600000000000 nanoseconds,-96.80847827483163,0 days 21:00:00
77400000000000 nanoseconds,-96.88962401798818,0 days 21:30:00
79200000000000 nanoseconds,-95.88014707668351,0 days 22:00:00
81000000000000 nanoseconds,-90.0908707825136,0 days 22:30:00
82800000000000 nanoseconds,-85.0974425724879,0 days 23:00:00
84600000000000 nanoseconds,-81.34009670732709,0 days 23:30:00
86400000000000 nanoseconds,-77.95102087997115,1 days 00:00:00
