,0,ahead_time
0,-28.82259429528907,0 days 00:30:00
1,-6.716477222108248,0 days 01:00:00
2,-11.785014118684341,0 days 01:30:00
3,-12.415288260696622,0 days 02:00:00
4,-11.084308638833129,0 days 02:30:00
5,-10.503008091539582,0 days 03:00:00
6,-10.655767338804354,0 days 03:30:00
7,-10.035144423764466,0 days 04:00:00
8,-10.953517217684018,0 days 04:30:00
9,-10.281525230884426,0 days 05:00:00
10,-10.675566064424956,0 days 05:30:00
11,-10.407883883815767,0 days 06:00:00
12,-10.128288735820027,0 days 06:30:00
13,-9.801645967503783,0 days 07:00:00
14,-9.875881162383521,0 days 07:30:00
15,-9.682580118526547,0 days 08:00:00
16,-9.986024181626451,0 days 08:30:00
17,-9.386635409756874,0 days 09:00:00
18,-9.272274257314537,0 days 09:30:00
19,-10.148894168977636,0 days 10:00:00
20,-9.995465552671742,0 days 10:30:00
21,-9.871691114410012,0 days 11:00:00
22,-9.835644669341944,0 days 11:30:00
23,-9.8985764264022,0 days 12:00:00
24,-9.709023023203441,0 days 12:30:00
25,-9.424176804261016,0 days 13:00:00
26,-9.629303734227744,0 days 13:30:00
27,-9.402784024007689,0 days 14:00:00
28,-9.356436898953136,0 days 14:30:00
29,-9.477449388807855,0 days 15:00:00
30,-9.392564457646236,0 days 15:30:00
31,-9.40503241799824,0 days 16:00:00
32,-9.62089223293717,0 days 16:30:00
33,-9.496826033507942,0 days 17:00:00
34,-9.483321760275079,0 days 17:30:00
35,-9.646105340611411,0 days 18:00:00
36,-9.633147561071356,0 days 18:30:00
37,-9.826639580310145,0 days 19:00:00
38,-9.941827431137057,0 days 19:30:00
39,-10.037048382485036,0 days 20:00:00
40,-10.154467917900154,0 days 20:30:00
41,-10.143491370229803,0 days 21:00:00
42,-10.168870531286945,0 days 21:30:00
43,-10.203391579935296,0 days 22:00:00
44,-10.42698515370108,0 days 22:30:00
45,-10.300398414580952,0 days 23:00:00
46,-10.406940238281074,0 days 23:30:00
47,-9.600597156173746,1 days 00:00:00
